Longitude;Latitude;DEPART;Elevation (m);Moho Depth (m);Curie Depth (Km);Free Air Anomaly (mGal);Vertical Gravity Gradient (E);Bouguer Anomaly (mGal);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Magnetic Anomaly (nT)
-71.44354981;6.882149229;ARAUCA;0.031746032;0.462101016;0.928571429;0.084453461;0.256414825;0.313465423;0.112973315;0.074570499;0.051554924;0.60635576;0.531605671
-74.312206;4.563396231;CUNDINAMARCA;0.507936508;0.824783103;0.857142857;0.205183803;0.207472084;0.126948116;0.003980227;0.015195503;0.00414106;0.14513382;0.505424561
-72.96701529;6.914209057;SANTANDER;0.37037037;0.616251588;0.928571429;0.18718987;0.213411737;0.200753386;0.003166627;0.007581761;0.046953288;0.338632887;0.561215964
-73.99971528;6.647070086;SANTANDER;0.026455026;0.608055807;0.928571429;0.019824651;0.228646947;0.216123555;0.067403842;0.04244865;0.009600298;0.247618177;0.676943393
-74.82918488;10.78503016;ATLÁNTICO;0.010582011;0.26546448;0.142857143;0.14255433;0.252940128;0.425421242;0.029899799;0.032400075;0.025535627;0.549855372;0.382918947
-77.6447572;1.352938742;NARIÑO;0.507936508;0.641109156;0.357142857;0.310112255;0.294963174;0.270766133;0.005777692;0.045877731;0.017151864;0.019317116;0.543815884
-74.19598759;4.653131729;BOGOTÁ, D. C.;0.534391534;0.863652669;0.857142857;0.189815497;0.21780708;0.108261657;0.021185985;0.026230728;0.013339091;0.115039765;0.536835466
-74.27487244;8.947402764;BOLÍVAR;0;0.418965568;0.5;0.120417214;0.248188406;0.395613018;0.041002504;0.070380603;0.028147397;0.135577669;0.417715212
-73.52988515;10.06700712;CESAR;0.010582011;0.237115074;0.642857143;0.191140351;0.254751722;0.493240733;0.013800815;0.021061222;0.066290683;0.167271303;0.779420558
-75.62774435;8.727672422;CÓRDOBA;0.021164021;0.325240263;0.428571429;0.140025063;0.267967451;0.413308344;0.002056123;0.05180594;0.005026467;0.348421148;0.559449435
-74.87555784;10.08316417;ATLÁNTICO;0;0.419410732;0.357142857;0.133135826;0.273699216;0.422927976;0.031426158;0.056938677;0.023097808;0.490797876;0.547907595
-75.25748922;9.578590773;SUCRE;0.063492063;0.2914575;0.357142857;0.184997845;0.294042528;0.445599778;0.003044149;0.01244206;0.016183578;0.425113126;0.554118037
-73.10492094;6.98117035;SANTANDER;0.222222222;0.62250625;0.928571429;0.146673416;0.168032787;0.244697559;0.006994531;0.007051737;0.051467589;0.349777325;0.626078599
-71.82239019;6.022415302;CASANARE;0.052910053;0.439931656;0.928571429;0.065423736;0.223776431;0.266440929;0.022756661;0.062304538;0.002903558;0.414844197;0.308576071
-72.90102859;2.473647849;GUAVIARE;0.042328042;0.248010753;0.785714286;0.150479373;0.23663578;0.405307359;0.039429169;0.124765323;0.123463221;0.022821967;0.664022933
-76.71965338;6.00815696;CHOCÓ;0.005291005;0.275568105;0.5;0.097412927;0.204413162;0.359320112;0.023878316;0.040253729;0.085564496;0.351026807;0.746456717
-72.66153366;11.62847124;LA GUAJIRA;0;0.351796572;0.214285714;0.10418172;0.24691138;0.381787899;0.079908112;0.116795329;0.065367329;0.404925374;0.325753794
-73.83009973;5.610036368;BOYACÁ;0.544973545;0.728575213;0.928571429;0.33591079;0.27773818;0.294616552;0.030096224;0.021120426;0.017649605;0.07277591;0.737187798
-73.18838258;7.68068092;NORTE DE SANTANDER;0.322751323;0.650862824;0.928571429;0.187093526;0.212609884;0.242256782;0.003506075;0.010497629;0.022860686;0.366127922;0.66524574
-74.80352947;9.318034258;BOLÍVAR;0;0.437265029;0.285714286;0.095509947;0.240615348;0.355301435;0.074055227;0.076813608;0.082818774;0.288066543;0.605420406
-73.34500947;8.346681526;CESAR;0.259259259;0.53603664;0.714285714;0.233583866;0.198948681;0.372941819;0.001482869;0.007089437;0.026809252;0.250373069;0.688128161
-78.24821787;1.693068402;NARIÑO;0.005291005;0.256450575;0.357142857;0.13284675;0.25495961;0.419497809;0.030075847;0.046070906;0.034404084;0.216519494;0.618169796
