Elevation (m);Surface Temperature (C);Moho Depth (m);Curie Depth (Km);Magnetic Anomaly (nT)
140.5128;27.497436;36566.38096;36;-40.2636
139.5984;27.502008;36653.95572;36;-38.0976
139.2936;27.503532;36620.28414;36;-40.2636
140;27.5;36665.8103;36;-38.0976
139.2936;27.503532;36616.84248;36;-40.2636
138.9888;27.505056;36587.9686;36;-40.2636
139.2936;27.503532;36605.22028;36;-40.2636
139.2936;27.503532;36659.33716;36;-38.0976
71.0184;27.844908;41642.65099;36;19.1818
72.8472;27.835764;41605.42484;36;20.308
65.2272;27.873864;41704.58376;36;19.1818
71.628;27.84186;41632.77139;36;19.1818
67.3608;27.863196;41734.25765;36;19.1818
73.4568;27.832716;41619.97435;36;20.308
71.628;27.84186;41654.75068;36;19.1818
68.2752;27.858624;41674.75779;36;19.1818
65.2272;27.873864;41466.59932;36;17.473
64.008;27.87996;41759.44819;36;19.1818
69.7992;27.851004;41620.80957;36;20.308
126.7968;27.566016;37739.79407;34;31.0006
124.3584;27.578208;38134.33033;34;31.3845
144.1704;27.479148;37453.72951;32;30.7422
328.8792;26.555604;37463.73238;36;-46.2005
161.2392;27.393804;36414.60344;32;15.54
220.6752;27.096624;33857.65325;36;-71.1112
220.6752;27.096624;33857.62637;36;-71.1112
220.6752;27.096624;33857.42862;36;-71.1112
220.6752;27.096624;33857.45549;36;-71.1112
220.6752;27.096624;33857.40187;36;-71.1112
222.504;27.08748;33886.25938;36;-65.8227
219.1512;27.104244;33886.6198;36;-65.8227
222.504;27.08748;33886.43955;36;-65.8227
222.504;27.08748;33886.0793;36;-65.8227
222.504;27.08748;33886.25938;36;-65.8227
219.1512;27.104244;33917.85586;36;-65.8227
219.1512;27.104244;33917.84948;36;-65.8227
219.1512;27.104244;33917.84948;36;-65.8227
213;27.135;33850.39887;34;-60.4431
186.2328;27.268836;33843.75305;34;-60.4431
76.2;27.819;31364.09173;12;-65.2527
320.04;26.5998;36333.9824;30;26.7323
186.5376;27.267312;36351.4534;30;26.7323
71.628;27.84186;42344.5996;34;27.525
65.8368;27.870816;42343.94085;34;27.525
144.4752;27.477624;36634.3393;32;31.285
148.4376;27.457812;36616.36434;32;31.285
142.0368;27.489816;36873.76989;32;38.4507
143.256;27.48372;36632.02148;32;31.285
697.6872;24.711564;42393.81569;20;-14.3767
652.5768;24.937116;42309.84443;22;-14.3767
604.1136;25.179432;42246.18211;20;-15.047
631.2408;25.043796;42400.06923;22;-14.3767
155.1432;27.424284;36589.27618;36;-54.6857
155.7528;27.421236;36560.36156;36;-54.6857
155.1432;27.424284;36587.92808;36;-54.6857
155.1432;27.424284;36587.16675;36;-54.6857
155.1432;27.424284;36587.94574;36;-54.6857
155.1432;27.424284;36584.79294;36;-54.6857
155.1432;27.424284;36583.21451;36;-54.6857
155.1432;27.424284;36588.67311;36;-54.6857
155.1432;27.424284;36589.64557;36;-54.6857
155.1432;27.424284;36589.27095;36;-54.6857
154;27.43;36587.10386;36;-54.6857
104.8512;27.675744;40235.45673;36;25.2239
188.0616;27.259692;36581.77234;36;-44.2179
152.7048;27.436476;36795.38172;32;24.8747
156.6672;27.416664;36801.00983;32;24.8747
156.6672;27.416664;36777.19502;32;24.8747
438.6072;26.006964;45002.92699;30;-3.5156
174.6504;27.326748;37829.72918;34;36.623
174.6504;27.326748;37833.81167;34;36.623
176.1744;27.319128;37838.12556;34;36.623
74.3712;27.828144;42386.96986;34;25.5681
76.2;27.819;42417.46151;34;25.5681
76.2;27.819;42396.16056;34;25.5681
76.2;27.819;42433.53156;34;25.5681
76.2;27.819;42392.48986;34;25.5681
76.2;27.819;42354.43473;34;25.5681
76.2;27.819;42347.4608;34;24.083
76.2;27.819;42358.86671;34;25.5681
74.9808;27.825096;42431.33758;34;25.5681
76.2;27.819;42370.01166;34;25.5681
76.2;27.819;42386.93184;34;25.5681
76.2;27.819;42382.35741;34;25.5681
75.5904;27.822048;42433.31712;34;25.5681
76.2;27.819;42406.12095;34;25.5681
76.2;27.819;42388.2725;34;23.1461
76.2;27.819;42345.37641;34;24.083
76.2;27.819;42360.39586;34;25.5681
76.2;27.819;42352.0947;34;22.1801
76.2;27.819;42340.46282;34;22.1801
76.2;27.819;42293.33698;34;22.1801
74.3712;27.828144;42346.60638;34;22.1801
71.0184;27.844908;42361.9949;34;25.5681
76.2;27.819;42315.53753;34;22.1801
76.2;27.819;42336.60854;34;22.1801
76.2;27.819;42315.68245;34;24.083
76.2;27.819;42352.23176;34;24.083
76.2;27.819;42327.1168;34;22.1801
76.2;27.819;42346.44553;34;24.083
76.2;27.819;42324.52668;34;22.1801
76.2;27.819;42305.30331;34;22.1801
72.2376;27.838812;42293.12411;34;22.1801
76.2;27.819;42378.93166;34;23.1461
76.2;27.819;42427.99603;34;25.5681
76.2;27.819;42399.83123;34;25.5681
76.2;27.819;42422.2509;34;25.5681
76.2;27.819;42377.81304;34;25.5681
